Date,Open,High,Low,Close,Adj Close,Volume
1987-12-30,1005.190002,1005.190002,1005.190002,1005.190002,1005.190002,0
1987-12-31,null,null,null,null,null,null
1988-01-01,null,null,null,null,null,null
1988-01-04,956.489990,956.489990,956.489990,956.489990,956.489990,0
1988-01-05,996.099976,996.099976,996.099976,996.099976,996.099976,0
1988-01-06,1006.010010,1006.010010,1006.010010,1006.010010,1006.010010,0
1988-01-07,1014.469971,1014.469971,1014.469971,1014.469971,1014.469971,0
1988-01-08,1026.689941,1026.689941,1026.689941,1026.689941,1026.689941,0
1988-01-11,987.520020,987.520020,987.520020,987.520020,987.520020,0
1988-01-12,986.890015,986.890015,986.890015,986.890015,986.890015,0
1988-01-13,965.770020,965.770020,965.770020,965.770020,965.770020,0
1988-01-14,974.460022,974.460022,974.460022,974.460022,974.460022,0
1988-01-15,952.460022,952.460022,952.460022,952.460022,952.460022,0
1988-01-18,1003.130005,1003.130005,1003.130005,1003.130005,1003.130005,0
1988-01-19,980.179993,980.179993,980.179993,980.179993,980.179993,0
1988-01-20,960.440002,960.440002,960.440002,960.440002,960.440002,0
1988-01-21,949.239990,949.239990,949.239990,949.239990,949.239990,0
1988-01-22,966.479980,966.479980,966.479980,966.479980,966.479980,0
1988-01-25,962.630005,962.630005,962.630005,962.630005,962.630005,0
1988-01-26,968.260010,968.260010,968.260010,968.260010,968.260010,0
1988-01-27,959.669983,959.669983,959.669983,959.669983,959.669983,0
1988-01-28,937.760010,937.760010,937.760010,937.760010,937.760010,0
1988-01-29,936.000000,936.000000,936.000000,936.000000,936.000000,0
1988-02-01,951.500000,951.500000,951.500000,951.500000,951.500000,0
1988-02-02,955.669983,955.669983,955.669983,955.669983,955.669983,0
1988-02-03,972.190002,972.190002,972.190002,972.190002,972.190002,0
1988-02-04,990.219971,990.219971,990.219971,990.219971,990.219971,0
1988-02-05,979.380005,979.380005,979.380005,979.380005,979.380005,0
1988-02-08,986.950012,986.950012,986.950012,986.950012,986.950012,0
1988-02-09,983.309998,983.309998,983.309998,983.309998,983.309998,0
1988-02-10,997.140015,997.140015,997.140015,997.140015,997.140015,0
1988-02-11,1024.689941,1024.689941,1024.689941,1024.689941,1024.689941,0
1988-02-12,1033.489990,1033.489990,1033.489990,1033.489990,1033.489990,0
1988-02-15,1049.349976,1049.349976,1049.349976,1049.349976,1049.349976,0
1988-02-16,1055.770020,1055.770020,1055.770020,1055.770020,1055.770020,0
1988-02-17,1053.270020,1053.270020,1053.270020,1053.270020,1053.270020,0
1988-02-18,1051.939941,1051.939941,1051.939941,1051.939941,1051.939941,0
1988-02-19,1046.780029,1046.780029,1046.780029,1046.780029,1046.780029,0
1988-02-22,1059.479980,1059.479980,1059.479980,1059.479980,1059.479980,0
1988-02-23,1069.030029,1069.030029,1069.030029,1069.030029,1069.030029,0
1988-02-24,1069.900024,1069.900024,1069.900024,1069.900024,1069.900024,0
1988-02-25,1091.589966,1091.589966,1091.589966,1091.589966,1091.589966,0
1988-02-26,1079.400024,1079.400024,1079.400024,1079.400024,1079.400024,0
1988-02-29,1083.339966,1083.339966,1083.339966,1083.339966,1083.339966,0
1988-03-01,1087.319946,1087.319946,1087.319946,1087.319946,1087.319946,0
1988-03-02,1080.439941,1080.439941,1080.439941,1080.439941,1080.439941,0
1988-03-03,1082.239990,1082.239990,1082.239990,1082.239990,1082.239990,0
1988-03-04,1075.130005,1075.130005,1075.130005,1075.130005,1075.130005,0
1988-03-07,1077.369995,1077.369995,1077.369995,1077.369995,1077.369995,0
1988-03-08,1079.420044,1079.420044,1079.420044,1079.420044,1079.420044,0
1988-03-09,1078.619995,1078.619995,1078.619995,1078.619995,1078.619995,0
1988-03-10,1082.540039,1082.540039,1082.540039,1082.540039,1082.540039,0
1988-03-11,1073.449951,1073.449951,1073.449951,1073.449951,1073.449951,0
1988-03-14,1071.890015,1071.890015,1071.890015,1071.890015,1071.890015,0
